GNIS_ID,FIPS_CODE
1471747,58184
1471759,58312
1471790,58472
1471793,58584
1471815,58856
1471821,58930
1471833,58952
1471835,58958
1471945,59544
1471986,60024
1471988,60040
1472006,60120
1472020,60296
1472036,9260R
1472139,61112
1472153,61160
1472211,61755
1472249,61896
1472274,62110
1472316,62232
1472397,62728
1472430,62792
1472448,62856
1472458,62952
1472465,63010
1472527,63208
1472576,63576
1472674,63848
1472682,63800
1472779,64480
1472854,64922
1472867,64976
1472871,65008
1472881,65088
1472902,65232
1472912,65312
1472928,65365
1472929,65385
1472946,65480
1472978,65712
1473020,65744
1473020,65744
1473039,66112
1473083,66256
1473130,66384
1473130,66384
1473145,66528
1473182,67052
1473194,66928
1473206,67208
1473229,67256
1473263,67460
1473271,67688
1473420,68464
1473422,68475
1473503,68608
1473609,69280
1473618,69392
1473642,69472
1473855,69936
1473855,69936
1473974,70048
1474026,70296
1474053,70384
1474069,70520
1474116,70752
1474116,70752
1474124,70880
1474178,71312
1474192,71350
1474227,07960
1474289,79680
1474300,87888
1474316,87952
1474333,88108
1474359,88176
1474372,88320
1474409,88432
1474452,71616
1474488,71885
1474580,72500
1474612,72600
1474618,72672
1474627,72725
1474662,72992
1474663,72976
1474779,73200
1474822,73472
1474844,73720
1474872,73904
1475060,74998
1475128,75456
1475137,75536
1475160,75552
1475196,75792
1475417,77344
1475418,77800
1475422,77375
1475531,77840
1475548,77968
1475605,78208
1475621,78112
1475702,78544
1475706,78592
1475737,78774
1475786,79088
1475820,79152
1475850,79312
1476009,79808
1476015,79824
1476084,80016
1476143,80505
1476174,80768
1476176,80896
1476188,81136
1476188,81136
1476229,82512
1476319,82992
1476323,83008
1476372,83440
1476409,83744
1476429,83800
1476430,83808
1476436,83904
1476439,83936
1476528,84768
1476529,84760
1476590,85440
1476645,85600
1476686,85712
1476700,85808
1476702,85824
1476727,85984
1476727,85984
1476952,87408
1476983,87760
1477028,88096
1477028,88096
1477060,00276
1477062,00315
1477063,00596
1477064,00628
1477065,00644
1477067,01210
1477068,01225
1477069,01512
1477070,01592
1477071,01704
1477072,01720
1477073,01816
1477074,01864
1477075,01992
1477076,02008
1477077,02024
1477078,02210
1477079,02285
1477080,03336
1477081,03360
1477082,03448
1477083,03464
1477084,03485
1477085,03672
1477086,03720
1477087,03768
1477088,03810
1477089,03960
1477090,04024
1477091,04232
1477092,04488
1477093,04536
1477096,04712
1477097,04835
1477098,04946
1477099,04952
1477100,05185
1477101,05400
1477102,05512
1477103,05624
1477104,05800
1477105,06008
1477106,06104
1477108,06552
1477109,06776
1477110,06872
1477112,06960
1477113,07064
1477114,07384
1477115,07544
1477116,07672
1477117,07704
1477118,07720
1477119,07848
1477122,08008
1477123,08035
1477126,08312
1477127,08320
1477128,08538
1477129,08600
1477130,08625
1477131,08680
1477132,08744
1477134,08824
1477135,08968
1477136,08995
1477137,09064
1477138,09256
1477139,09360
1477140,09608
1477141,09672
1477142,09740
1477143,09784
1477144,09920
1477145,10088
1477146,10280
1477147,10408
1477148,10575
1477148,10575
1477149,10632
1477150,10655
1477152,10720
1477153,10712
1477154,11170
1477155,11192
1477156,11216
1477157,11312
1477159,11535
1477160,11672
1477163,11885
1477164,11896
1477165,11944
1477165,11944
1477166,12130
1477168,12152
1477169,12184
1477170,12424
1477173,12664
1477174,12872
1477175,12968
1477176,13000
